id,source_ticker,source_name,source_cik,target_ticker,target_name,target_cik,relationship_type,raw_mention,context,confidence,confidence_tier,ai_label,ai_confidence,ai_reasoning,ai_business_logic,ai_alternative
11,VOR,Vor Biopharma Inc.,,BEAM,Beam Therapeutics Inc.,,HAS_COMPETITOR,Beam Therapeutics,"However, we face potential competition from multiple private and public HSC companies such as Beam Therapeutics, Inc., Cimeio Therapeutics, ExCellThera and Garuda Therapeutics.",1.000,medium,correct,0.94,"The raw mention is the full company name “Beam Therapeutics, Inc.”, which directly corresponds to the public company Beam Therapeutics Inc. (ticker BEAM). The context is a competitor list of “private and public HSC companies,” which fits Beam’s business as a gene-editing/base-editing biotechnology company with hematology programs that could compete in HSC-related therapies. There are no obvious alternative well-known entities with this exact name, and the inclusion of “Inc.” further indicates a specific corporate entity rather than a generic term.","Vor Bio operates in cell and genome engineering for hematologic malignancies and HSC-based approaches; Beam Therapeutics is a gene-editing biotech developing precision genetic medicines, including hematology/HSC-related applications. Listing Beam as a potential competitor in this space is plausible.",Unlikely; the mention is specific and matches the public company name. A hypothetical private company with the same exact name would be improbable and is not suggested by the context.
12,POLA,"Polar Power, Inc.",,CAT,CATERPILLAR INC,,HAS_COMPETITOR,Caterpillar,"Our competitors include Caterpillar, Generac, Cummins, 3-Tech, Ascot, Ausonia, Controllis and Kohler.",1.000,medium,correct,0.90,"The raw mention is the distinctive company name “Caterpillar” and appears in a list of direct competitors alongside Generac, Cummins, and Kohler—well-known manufacturers of generators and power systems. Caterpillar Inc. (CAT) sells industrial generator sets and power solutions that would compete with Polar Power’s DC power systems in certain segments (telecom backup/prime power, distributed power). There are no contextual cues suggesting a different ‘Caterpillar’ entity (e.g., a local firm or unrelated ‘Caterpillar’ product). In SEC filings, “Caterpillar” in an industrial/power-competitor context overwhelmingly refers to Caterpillar Inc. and its subsidiaries (Cat Power Systems).","Plausible and consistent: Polar Power operates in power systems for telecom and other applications; Caterpillar is a major competitor in generator/power equipment markets, commonly cited alongside Generac/Cummins/Kohler. Competitor relationship makes business sense.","Could theoretically refer to a Caterpillar subsidiary/brand (e.g., Cat Power Systems) or a non-public regional company using the name, but the competitive set and prominence strongly indicate Caterpillar Inc. (CAT)."
13,BBSI,BARRETT BUSINESS SERVICES INC,,NSP,"INSPERITY, INC.",,HAS_SUPPLIER,Insperity,"BBSI is not aware of reliable statistics regarding the number of its competitors, but certain large, well-known companies typically compete with us in the same markets and have greater financial and m",1.000,medium,incorrect,0.83,"The raw mention ""Insperity"" in the provided context appears in a discussion of companies that ""typically compete with us in the same markets,"" i.e., a competitor list. Insperity, Inc. (NYSE: NSP) is a large, well-known PEO/HR services provider and a plausible named competitor to BBSI, so the name-to-entity mapping itself is likely to NSP. However, the resolved relationship type is HAS_SUPPLIER, which conflicts with the context: Insperity is not being cited as a vendor/supplier to BBSI but as a rival. Therefore the match as encoded (supplier relationship) is incorrect.","BBSI and Insperity operate in the same HR outsourcing/PEO space; it is logical for BBSI to cite Insperity as a competitor, not as a supplier. A supplier relationship between two direct PEO competitors would be unusual and unsupported by the excerpt.","The mention most likely refers to Insperity, Inc. (NSP) but in the role of a competitor (e.g., COMPETITOR/PEER), not a supplier. A different company named Insperity is unlikely in this HR/PEO competitive context."
14,WU,Western Union CO,,AXP,AMERICAN EXPRESS CO,,HAS_SUPPLIER,American Express,"Fitzgerald’s time at American Express, she also held the roles in various disciplines and functions, including marketing, finance, and procurement.",1.000,medium,incorrect,0.93,"The raw mention “American Express” appears in a biographical/experience context (“Fitzgerald’s time at American Express… held roles… marketing, finance, and procurement”), which indicates a person’s prior employment history. It is not describing a commercial relationship where Western Union purchases goods/services from American Express. While the name likely does refer to American Express Company (AXP) as the employer, the asserted relationship type (HAS_SUPPLIER) is not supported by the surrounding text, making the overall match incorrect for supplier entity resolution.","Western Union could plausibly interact with American Express in payments/financial services, but this excerpt is clearly about an individual’s career history, not procurement from a supplier. Therefore the supplier relationship does not make business or contextual sense here.","The mention refers to American Express as the prior employer of an executive/director (a background/biographical disclosure), not as a supplier to Western Union."
15,LPSN,LIVEPERSON INC,,TWLO,TWILIO INC,,HAS_CUSTOMER,Twilio,"We have current and potential competitors in many different industries, including:
•technology or service providers offering or powering competing digital engagement, contact center, communications, o",1.000,medium,incorrect,0.90,"The raw mention is ""Twilio"" and appears in a section discussing ""current and potential competitors"": ""technology or service providers offering or powering competing digital engagement, contact center, communications..."" This context indicates LivePerson is naming Twilio as a competitor/alternative platform, not as a customer of LivePerson. While the name match to Twilio Inc. is strong (Twilio is a distinctive brand in communications APIs/contact center), the asserted relationship type (HAS_CUSTOMER) is not supported and is contradicted by the competitive context.",It is plausible for LivePerson and Twilio to compete in digital engagement/contact-center/communications tooling; it is not logical here to treat Twilio as LivePerson’s customer given the explicit competitor framing.,"This mention most likely refers to Twilio Inc. as a competitor (relationship should be COMPETITOR), not a customer. If not Twilio Inc., it could theoretically refer to a similarly named product, but given industry context it aligns with Twilio Inc."
16,TPR,"TAPESTRY, INC.",,CPRI,Capri Holdings Ltd,,HAS_PARTNER,Capri,"In August 2023, the Company suspended its share repurchase activity in connection with the Merger Agreement with Capri.",1.000,low,correct,0.95,"The raw mention is the standalone proper noun “Capri” in the phrase “Merger Agreement with Capri,” which strongly indicates a corporate counterparty rather than the geographic location (Capri, Italy) or a product term. In August 2023, Tapestry publicly announced a definitive agreement to acquire Capri Holdings Limited (ticker CPRI). The surrounding context about suspending share repurchases ‘in connection with the Merger Agreement’ aligns exactly with such a transaction and is a common disclosure in 10-Ks when a large M&A deal is pending. Therefore, the mention ‘Capri’ is best interpreted as Capri Holdings Limited.","Tapestry (Coach, Kate Spade, Stuart Weitzman) and Capri Holdings (Versace, Jimmy Choo, Michael Kors) operate in closely related luxury/fashion/accessories markets and were parties to a widely reported merger agreement in 2023. A merger agreement would reasonably lead to changes in capital allocation like pausing share repurchases. The relationship is plausible (though more precisely an M&A counterparty than a generic ‘partner’).","Could refer to the island of Capri or a brand/product named Capri, but the specific phrasing ‘Merger Agreement with Capri’ in a corporate finance context makes those interpretations unlikely."
17,LYFT,"Lyft, Inc.",,CAR,"AVIS BUDGET GROUP, INC.",,HAS_COMPETITOR,Avis Budget Group,"Our main competitors in the consumer vehicle rental market include Enterprise, Hertz and Avis Budget Group as well as emerging car-share marketplaces.",1.000,low,correct,0.94,"The raw mention is the full corporate/brand name “Avis Budget Group,” which directly corresponds to the public company Avis Budget Group, Inc. (ticker CAR). The surrounding context lists major vehicle rental competitors (“Enterprise, Hertz and Avis Budget Group”), which are the well-known U.S. car rental firms, strongly indicating the intended entity is Avis Budget Group rather than any other ‘Avis’ or ‘Budget’ term. There is no abbreviation-only ambiguity or generic-word risk here.","Plausible: Lyft offers/has offered car-rental related offerings (e.g., rentals through its platform/partners) and discusses the consumer vehicle rental market; Avis Budget Group competes in that market. Grouping Avis Budget with Enterprise and Hertz is consistent with industry reality.","Unlikely. Could theoretically refer to a private licensee/operator using the Avis or Budget brands, but the phrase “Avis Budget Group” in a competitor list alongside Enterprise and Hertz typically denotes the public parent company."
18,EFTR,"eFFECTOR Therapeutics, Inc.",,ARVN,"ARVINAS, INC.",,HAS_COMPETITOR,Arvinas,"Moreover, there are currently several marketed drugs and product candidates in development for the treatment of ER+ breast cancer that may compete with zotatifin, including fulvestrant marketed by Ast",1.000,medium,correct,0.87,"The raw mention is the proper noun “Arvinas,” which strongly and uniquely corresponds to the public biotech company Arvinas, Inc. (NASDAQ: ARVN). In oncology competitive-landscape sections, companies are commonly referenced by corporate name alone (without “Inc.”), and Arvinas is a well-known developer of ER+ breast cancer candidates (e.g., ARV-471/vepdegestrant), making it a plausible competitor to eFFECTOR’s zotatifin in ER+ breast cancer. The surrounding context describes marketed drugs and product candidates for ER+ breast cancer that may compete with zotatifin, which aligns with Arvinas’s pipeline focus in that indication. No obvious alternative widely known entity named “Arvinas” fits better in this therapeutic context.","Biopharma companies routinely list other biotechs/pharmas developing therapies in the same indication as competitors. Arvinas has ER+ breast cancer programs, so being cited as a competitor to zotatifin is commercially and scientifically plausible.",Unlikely; “Arvinas” is not a generic term and there are no prominent unrelated companies commonly referred to as Arvinas in this context.
19,NBIX,NEUROCRINE BIOSCIENCES INC,,XENE,Xenon Pharmaceuticals Inc.,,HAS_PARTNER,Xenon Pharmaceuticals,"In addition, we collaborate with Xenon Pharmaceuticals, Inc.",1.000,high,correct,0.93,"The raw mention ""Xenon Pharmaceuticals"" and the surrounding context explicitly state ""we collaborate with Xenon Pharmaceuticals, Inc.,"" which is an exact legal-name match to the public company Xenon Pharmaceuticals Inc. (ticker XENE). There is no indication of an alternative entity (e.g., a product name or subsidiary with the same wording), and the addition of "", Inc."" strongly suggests a corporate counterparty rather than a generic term. Given both companies operate in neuroscience/neurology-focused biopharma, a collaboration/partner relationship is business-plausible.","Neurocrine (CNS-focused biopharma) partnering/collaborating with Xenon (neurology-focused biopharma) is consistent with typical industry collaboration structures (R&D, licensing, co-development). The context explicitly uses the verb ""collaborate,"" aligning with a partner relationship.","Unlikely; could theoretically refer to a private entity with a similar name, but the exact match to the well-known public Xenon Pharmaceuticals Inc. and the explicit corporate suffix make that low probability."
20,NPKI,NPK International Inc.,,HAL,HALLIBURTON CO,,HAS_COMPETITOR,Halliburton,"4


Competition

 — We face competition from larger companies, including Halliburton, Schlumberger, and Baker Hughes, which compete vigorously on fluids performance and/or price.",1.000,medium,correct,0.98,"The raw mention ""Halliburton"" is an unambiguous reference to Halliburton Company, a globally known oilfield services provider commonly referred to simply as Halliburton. The surrounding context explicitly lists it among large competitors alongside Schlumberger and Baker Hughes—two other major oilfield services firms—reinforcing that the intended entity is the well-known Halliburton (NYSE: HAL), not a smaller or unrelated company with a similar name. The competitive dynamic described (competition on drilling/completion/stimulation fluids performance and/or price) aligns directly with Halliburton’s business lines (e.g., drilling fluids, completion fluids, and related services) and Newpark’s Fluids Systems segment.","Makes strong business sense: Newpark’s fluids segment would plausibly compete with major oilfield services companies such as Halliburton on fluids technology and pricing, particularly in drilling and completion fluids markets.","Unlikely. There are no contextual indicators (e.g., legal entity suffixes, non-energy industry cues) suggesting another ""Halliburton""; the pairing with Schlumberger and Baker Hughes strongly anchors the reference to Halliburton Company (HAL)."
21,ALSN,Allison Transmission Holdings Inc,,TWIN,TWIN DISC INC,,HAS_COMPETITOR,Twin Disc,Our major competitor in this end market is Twin Disc.,1.000,low,correct,0.93,"The raw mention “Twin Disc” is an exact/standard shortened name for Twin Disc, Inc. and is not a generic term that could plausibly refer to something else in this context. The surrounding sentence explicitly identifies it as “our major competitor in this end market,” which aligns with Twin Disc’s business of designing and manufacturing marine and heavy-duty off-highway power transmission equipment (including transmissions and related driveline components). Allison Transmission operates in commercial-duty on-highway, off-highway, and defense propulsion solutions, where Twin Disc is a known competitor in certain off-highway/marine power transmission niches. No contextual cues suggest a different entity (e.g., a product nickname, internal division, or unrelated ‘twin disc’ mechanical term).","Plausible competitor relationship: both companies manufacture power transmission/drivetrain solutions (transmissions, torque converters, related components) serving overlapping off-highway and marine end markets. A 10-K identifying Twin Disc as a major competitor in a specific end market is consistent with industry structure.","Unlikely; “twin disc” could describe a mechanical clutch concept in isolation, but the capitalization and competitor framing strongly indicate the corporate entity Twin Disc, Inc."
22,CDW,CDW Corp,,PANW,Palo Alto Networks Inc,,HAS_SUPPLIER,Palo Alto Networks,"Partners

We provide more than 100,000 products and services from more than 1,000 vendor partners, including well-established companies such as Adobe, APC, Apple, Cisco, Dell EMC, Google, Hewlett Pack",1.000,medium,correct,0.93,"The raw mention is the exact corporate name “Palo Alto Networks,” which uniquely identifies Palo Alto Networks, Inc. (PANW) in an IT/cybersecurity context. The surrounding text is a list of CDW’s “vendor partners” (e.g., Adobe, Apple, Cisco, Dell EMC, Google), which are well-known technology manufacturers/software publishers whose products CDW resells or integrates. Palo Alto Networks is a major cybersecurity vendor whose products are commonly distributed via channel partners like CDW, making the supplier/vendor relationship plausible and consistent with CDW’s business model. No contextual clues suggest another entity with the same name, and the mention is not a generic term or ambiguous abbreviation.","CDW is an IT solutions reseller/integrator that sources products and services from large technology vendors. Palo Alto Networks is a cybersecurity product vendor with extensive channel partner programs, so CDW listing it among vendor partners aligns with a HAS_SUPPLIER/vendor relationship.","Unlikely; “Palo Alto Networks” in a vendor-partner list could only rarely refer to a non-public affiliate or similarly named private firm, but no such alternative is suggested by the context."
23,ADT,ADT Inc.,,JCI,Johnson Controls International plc,,HAS_COMPETITOR,Johnson Controls International,"Our principal competitors within the

8

commercial market are Johnson Controls International plc.",1.000,medium,correct,0.97,"The raw mention “Johnson Controls International” in the context “Our principal competitors within the commercial market are Johnson Controls International plc.” is an explicit, near-exact reference to the legal name of Johnson Controls International plc (ticker JCI). The addition of “plc” in the surrounding text further disambiguates it from any similarly named private entities. Johnson Controls is a well-known provider of building technologies, fire/security systems, and related services, which competes plausibly with ADT in the commercial security and monitoring market. No contextual clues suggest an alternative Johnson Controls entity (e.g., legacy ‘Johnson Controls, Inc.’) distinct from the current public parent; the filing’s use of the full, current name aligns with the public company JCI.","Makes strong business sense: ADT’s commercial security/monitoring and integrated building security solutions overlap with Johnson Controls’ building systems, fire & security solutions and services, so competitor framing is plausible.","Unlikely; could theoretically refer to a local Johnson Controls affiliate/division, but that would still roll up to Johnson Controls International plc as the public parent."
24,GXXM,"GEX MANAGEMENT, INC.",,WMT,Walmart Inc.,,HAS_CUSTOMER,Walmart,"5

The
end clients for whom GEX consultants provide services include leading companies such as Salesforce, Anthem, Walmart, United Airlines,
Disney, Marriott, Paramount, Morgan Stanley, and Carlyle Gr",1.000,medium,correct,0.92,"The raw mention is the standalone proper noun “Walmart” in a list of well-known corporate end clients (“Salesforce, Anthem, Walmart, United Airlines, Disney, Marriott, Paramount, Morgan Stanley, and Carlyle…”). In SEC/10-K contexts, “Walmart” without qualifiers overwhelmingly refers to Walmart Inc., the public omni-channel retailer (WMT). There is no contextual indication of a different entity (e.g., Walmart de México, Walmart Canada, or a local store) and the peer list consists of large U.S. parent corporations/brands, supporting that the intended reference is the flagship company.

The relationship type (HAS_CUSTOMER) is plausible: GEX describes providing consulting/professional services to “end clients,” and Walmart is a common enterprise customer for consulting, IT, back-office, and staffing services.

No major red flags: “Walmart” is not a generic term or common ambiguous abbreviation; it is a distinctive brand name tied to the public company. While subsidiaries may be involved op",Plausible and consistent: a professional services/consulting firm listing end clients could reasonably include Walmart among other large enterprises.,"Could refer to a Walmart subsidiary (e.g., Walmart de México y Centroamérica, Walmart Canada) or a specific business unit rather than the parent; however the unqualified name and U.S.-centric peer list make Walmart Inc. the most likely referent."
25,CRDO,Credo Technology Group Holding Ltd,,AVGO,Broadcom Inc.,,HAS_SUPPLIER,Broadcom,"Our principal competitors with respect to our products include Broadcom and Marvell, as well
17
as various DAC suppliers.",1.000,medium,incorrect,0.92,"The raw mention “Broadcom” in the excerpt clearly appears in a competitive landscape sentence: “Our principal competitors… include Broadcom and Marvell…”. That context indicates Broadcom is being cited as a competitor, not a supplier. While the entity itself most likely refers to Broadcom Inc. (AVGO)—a well-known semiconductor company that competes in networking/interconnect ASICs/PHYs—the asserted relationship type (HAS_SUPPLIER) is inconsistent with the surrounding text and typical business logic (a direct competitor would not generally be listed as a supplier in a “principal competitors” disclosure). Therefore the overall match as labeled (supplier relationship) is incorrect.","Credo (high-speed connectivity/SerDes solutions) plausibly competes with Broadcom and Marvell in semiconductor connectivity products. It is not logical in this context to treat Broadcom as Credo’s supplier; suppliers would more likely be foundries, OSATs, IP vendors, or component vendors, not principal competitors.","The mention most likely refers to Broadcom Inc. (AVGO) but in the role of a competitor (or peer) rather than a supplier. If strictly evaluating entity only, it would be Broadcom Inc.; however the relationship type should be COMPETITOR, not HAS_SUPPLIER."
26,NXTC,"NextCure, Inc.",,AMGN,AMGEN INC,,HAS_COMPETITOR,Amgen,"Our competitors include larger and better funded biopharmaceutical, biotechnology and therapeutics companies, including companies focused on cancer immunotherapies, such as Amgen, Inc., AstraZeneca pl",1.000,medium,correct,0.98,"The raw mention explicitly states “Amgen, Inc.” in a list of competitor companies focused on cancer immunotherapies. This is an unambiguous reference to Amgen Inc., the large U.S. biopharmaceutical company publicly traded as AMGN. There is strong name match (exact corporate name) and the competitive relationship is business-logical given NextCure is a clinical-stage immuno-oncology company and Amgen has significant oncology/immuno-oncology programs and competes for targets, trials, talent, and capital.","Plausible and expected: a small clinical-stage immunotherapy developer would cite large, well-funded biopharma companies like Amgen as competitors in cancer immunotherapy.","Unlikely; there are no prominent alternative entities commonly known as “Amgen, Inc.” in the biopharmaceutical context."
27,VS,Versus Systems Inc.,,MSFT,MICROSOFT CORP,,HAS_COMPETITOR,Microsoft,"We also face increased competition
from large media and technology companies with significant online presences, such as Apple, Alphabet/Google, Amazon, Meta, Microsoft,
Netflix Shopify, or Yahoo, as t",1.000,medium,correct,0.97,"The raw mention is the full company name “Microsoft” in a list of large media and technology companies (Apple, Alphabet/Google, Amazon, Meta, Microsoft, Netflix, Shopify, Yahoo). In a 10-K competitive landscape discussion, “Microsoft” overwhelmingly refers to Microsoft Corporation (MSFT). There is no indication of a different Microsoft-branded entity (e.g., a subsidiary or non-public firm) and the context matches Microsoft’s profile as a major technology company with significant online presence and platforms relevant to gaming, streaming, advertising, and digital engagement—areas where Versus Systems could perceive competitive pressure.","Plausible and logical: Versus Systems provides gamification/rewards engagement tools and could compete indirectly with large tech platforms/ecosystems (including Microsoft via Xbox, Azure, ad tech, gaming/engagement platforms, enterprise software). Listing Microsoft among other mega-cap tech/media firms as competitive threats is consistent with typical risk-factor language.","Unlikely. Only potential alternative would be another entity named “Microsoft,” but in public-company and tech-platform context this virtually always means Microsoft Corporation."
